EnrollmentID,StudentID,Term,AcademicYear,EnrollmentStatus,CreditHours,ResidencyStatus,Campus,EnrollmentDate
ENR000023,WMU00007,Fall 2023,2023,Enrolled,3,In-State,Main Campus,2023-12-21
ENR000024,WMU00007,Spring 2025,2025,Enrolled,15,Out-of-State,Regional Campus,2025-08-23
ENR000025,WMU00007,Fall 2025,2025,Enrolled,6,In-State,Regional Campus,2025-05-17
ENR000026,WMU00008,Spring 2025,2025,Completed,12,In-State,Regional Campus,2025-05-12
ENR000027,WMU00008,Spring 2024,2024,Enrolled,12,International,Main Campus,2024-04-04
ENR000028,WMU00008,Fall 2023,2023,Enrolled,15,International,Online,2023-09-17
ENR000029,WMU00008,Fall 2024,2024,Withdrawn,6,International,Regional Campus,2024-04-09
ENR000030,WMU00008,Fall 2025,2025,Enrolled,24,In-State,Main Campus,2025-11-28
ENR000031,WMU00009,Spring 2025,2025,Enrolled,9,In-State,Online,2025-05-11
ENR000032,WMU00009,Spring 2024,2024,Withdrawn,15,In-State,Main Campus,2024-12-02
ENR000033,WMU00009,Fall 2023,2023,Enrolled,15,In-State,Main Campus,2023-08-17
ENR000034,WMU00009,Fall 2024,2024,Enrolled,3,In-State,Regional Campus,2024-08-19
ENR000035,WMU00009,Fall 2025,2025,Enrolled,15,Out-of-State,Main Campus,2025-12-22
ENR000036,WMU00010,Spring 2024,2024,Enrolled,3,International,Online,2024-04-13
ENR000037,WMU00010,Fall 2023,2023,Enrolled,6,Out-of-State,Regional Campus,2023-08-02
ENR000038,WMU00010,Fall 2025,2025,Enrolled,12,In-State,Regional Campus,2025-08-06
ENR000039,WMU00010,Spring 2025,2025,Enrolled,12,In-State,Online,2025-12-07
ENR000040,WMU00011,Fall 2024,2024,Completed,3,In-State,Online,2024-03-04
ENR000041,WMU00011,Spring 2024,2024,enrolled,12,Out-of-State,Main Campus,2024-06-08
ENR000042,WMU00011,Spring 2025,2025,Completed,9,In-State,Regional Campus,2025-10-06
ENR000043,WMU00011,Fall 2023,2023,Completed,15,In-State,Main Campus,2023-07-28
ENR000044,WMU00012,Spring 2024,2024,Enrolled,12,In-State,Online,2024-07-19
ENR000045,WMU00012,Spring 2025,2025,Completed,6,In-State,Regional Campus,2025-01-14
ENR000046,WMU00012,Fall 2025,2025,Enrolled,3,Out-of-State,Regional Campus,2025-09-02
ENR000047,WMU00012,Fall 2024,2024,Completed,12,Out-of-State,Online,2024-12-27
ENR000048,WMU00012,Fall 2023,2023,Withdrawn,3,Out-of-State,Main Campus,2023-02-18
ENR000049,WMU00013,Spring 2025,2025,Enrolled,6,Out-of-State,Main Campus,2025-11-03
ENR000050,WMU00013,Spring 2024,2024,Withdrawn,3,International,Online,2024-03-23
ENR000051,WMU00014,Fall 2025,2025,Enrolled,12,Out-of-State,Regional Campus,2025-08-23
ENR000052,WMU00014,Fall 2023,2023,Enrolled,3,Out-of-State,Regional Campus,2023-06-17
ENR000053,WMU00014,Spring 2024,2024,Enrolled,3,Out-of-State,Online,2024-12-20
ENR000054,WMU00014,Fall 2024,2024,Completed,15,In-State,Regional Campus,2024-02-20
ENR000055,WMU00014,Spring 2025,2025,Enrolled,9,International,Regional Campus,2025-06-02
ENR000056,WMU00015,Spring 2025,2025,Completed,12,In-State,Online,2025-06-06
ENR000057,WMU00015,Fall 2024,2024,Enrolled,15,International,Regional Campus,2024-04-05
ENR000058,WMU00016,Spring 2024,2024,Enrolled,15,International,Main Campus,2024-06-12
ENR000059,WMU00016,Autumn 2024,2023,Completed,9,International,Online,2023-05-02
ENR000060,WMU00016,Fall 2024,2024,Enrolled,3,Out-of-State,Online,2024-08-17
ENR000061,WMU00016,Fall 2025,2025,Enrolled,15,Out-of-State,Regional Campus,2025-09-22
ENR000062,WMU00017,Spring 2025,2025,Withdrawn,6,In-State,Main Campus,2025-07-06
ENR000063,WMU00017,Fall 2024,2024,Enrolled,9,In-State,Main Campus,2024-05-04
ENR000064,WMU00017,Fall 2025,2025,Withdrawn,6,In-State,Main Campus,2025-09-21
ENR000065,WMU00017,Fall 2023,2023,Enrolled,3,Out-of-State,Regional Campus,2023-09-05
ENR000066,WMU00018,Fall 2024,2024,Enrolled,6,In-State,Main Campus,2024-09-21
ENR000067,WMU00018,Spring 2025,2025,Withdrawn,9,International,Online,2025-11-21
ENR000068,WMU00018,Spring 2024,2024,Withdrawn,9,International,Regional Campus,2024-12-17
ENR000069,WMU00018,Fall 2023,2023,Withdrawn,15,Out-of-State,Online,2023-10-05
ENR000070,WMU00018,Fall 2025,2025,Enrolled,9,Out-of-State,Main Campus,2025-08-12
ENR000071,WMU00019,Fall 2023,2023,Enrolled,12,International Student,Main Campus,2023-12-18
ENR000072,WMU00019,Spring 2024,2024,Enrolled,9,In-State,Regional Campus,2024-12-22
ENR000073,WMU00019,Spring 2025,2025,Enrolled,6,In-State,Main Campus,2025-01-11
ENR000074,WMU00019,Fall 2024,2024,Enrolled,15,Out-of-State,Online,2024-06-06
ENR000075,WMU00020,Fall 2025,2025,Enrolled,9,In-State,Online,2025-08-18
ENR000076,WMU00020,Fall 2023,2023,Completed,6,Out-of-State,Main Campus,2023-01-13
ENR000077,WMU00020,Fall 2024,2024,Enrolled,12,Out-of-State,Online,2024-03-01
ENR000078,WMU00021,Fall 2024,2024,Withdrawn,15,Out-of-State,Regional Campus,2024-02-24
ENR000079,WMU00021,Spring 2025,2025,Enrolled,12,In-State,Regional Campus,2025-09-04
ENR000080,WMU00021,Spring 2024,2024,Enrolled,9,Out-of-State,Regional Campus,2024-04-15
ENR000081,WMU00021,Fall 2023,2023,Enrolled,9,Out-of-State,Main Campus,2023-10-21
ENR000082,WMU00022,Fall 2025,2025,Enrolled,6,In-State,Regional Campus,2025-08-22
ENR000083,WMU00022,Spring 2024,2024,Completed,3,Out-of-State,Main Campus,2024-08-11
ENR000084,WMU00022,Spring 2025,2025,Completed,15,International,Main Campus,2025-11-12
ENR000085,WMU00023,Spring 2024,2024,Enrolled,3,Out-of-State,Online,2024-05-15
ENR000086,WMU00023,Spring 2025,2025,Enrolled,15,In-State,Regional Campus,2025-08-24
ENR000087,WMU00023,Fall 2025,2025,Withdrawn,12,Out-of-State,Main Campus,2025-12-14
ENR000088,WMU00023,Fall 2024,2024,Enrolled,12,International,Regional Campus,2024-02-05
ENR000089,WMU00023,Fall 2023,2023,Enrolled,6,Out-of-State,Regional Campus,2020-01-05
ENR000090,WMU00024,Fall 2023,2023,Completed,6,Out-of-State,Regional Campus,2023-10-25
ENR000091,WMU00024,Fall 2025,2025,Enrolled,6,In-State,Online,2025-05-18
ENR000092,WMU00024,Spring 2024,2024,Enrolled,12,Out-of-State,Regional Campus,2024-05-16
ENR000093,WMU00024,Fall 2024,2024,Withdrawn,15,In-State,Main Campus,2024-01-05
ENR000094,WMU00024,Spring 2025,2025,Enrolled,9,International,Regional Campus,2025-08-04
ENR000095,WMU00025,Spring 2025,2025,Enrolled,3,Out-of-State,Online,2025-02-20
ENR000096,WMU00025,Spring 2024,2024,Completed,9,Out-of-State,Regional Campus,2024-07-28
ENR000097,WMU00025,Fall 2025,2025,Withdrawn,9,International,Main Campus,2025-06-17
ENR000098,WMU00025,Fall 2023,2023,Enrolled,15,Out-of-State,Main Campus,2023-10-02
ENR000099,WMU00026,Fall 2024,2024,Enrolled,6,In-State,Main Campus,2024-05-12
ENR000100,WMU00026,Spring 2025,2025,Enrolled,12,In-State,Online,2025-05-17
ENR000101,WMU00026,Fall 2025,2025,Completed,3,In-State,Regional Campus,2025-03-25
ENR000102,WMU00027,Fall 2025,2025,Enrolled,15,Out-of-State,Regional Campus,2025-05-09
ENR000103,WMU00027,Spring 2024,2024,Enrolled,9,International,Regional Campus,2024-06-27
ENR000104,WMU00028,Fall 2023,2023,Enrolled,9,Out-of-State,Online,2023-06-06
ENR000105,WMU00028,Spring 2024,2024,Enrolled,3,In-State,Regional Campus,2024-04-27
ENR000106,WMU00028,Fall 2024,2024,Completed,6,International,Regional Campus,2024-09-28
ENR000107,WMU00029,Spring 2025,2025,Enrolled,3,In-State,Main Campus,2025-08-12
ENR000108,WMU00029,Fall 2025,2025,Enrolled,9,In-State,Online,2025-10-17
ENR000109,WMU00030,Spring 2024,2024,Enrolled,6,International,Main Campus,2024-12-08
ENR000110,WMU00030,Fall 2024,2024,Enrolled,9,In-State,Main Campus,2024-02-14
ENR000111,WMU00030,Fall 2023,2023,Enrolled,3,In-State,Online,2023-07-02
ENR000112,WMU00030,Spring 2025,2025,Enrolled,6,In-State,Regional Campus,2025-09-19
ENR000113,WMU00031,Spring 2025,2025,Enrolled,9,In-State,Online,2025-11-01
ENR000114,WMU00031,Fall 2023,2023,Enrolled,3,International,Main Campus,2023-10-07
ENR000115,WMU00032,Fall 2024,2024,Enrolled,6,International,Online,2024-06-06
ENR000116,WMU00032,Fall 2023,2023,Completed,15,In-State,Regional Campus,2023-10-03
ENR000117,WMU00032,Spring 2025,2025,Completed,3,In-State,Regional Campus,2025-04-23
ENR000118,WMU00033,Fall 2024,2024,Enrolled,3,In-State,Regional Campus,2024-12-16
ENR000119,WMU00033,Spring 2024,2024,Completed,9,In-State,Online,2024-11-04
ENR000120,WMU00033,Fall 2025,2025,Enrolled,6,Out-of-State,Online,2025-04-17
ENR000121,WMU00034,Spring 2025,2025,Withdrawn,3,In-State,Regional Campus,2025-03-16
ENR000122,WMU00034,Fall 2023,2023,Enrolled,9,International,Regional Campus,2023-01-03
ENR000123,WMU00034,Spring 2024,2024,Withdrawn,9,In-State,Online,2024-05-15
ENR000124,WMU00035,Spring 2025,2025,Withdrawn,9,In-State,Main Campus,2025-08-22
ENR000125,WMU00035,Spring 2024,2024,Enrolled,9,In-State,Regional Campus,2024-08-22
ENR000126,WMU00035,Fall 2024,2024,Withdrawn,3,Out-of-State,Regional Campus,2024-11-22
ENR000127,WMU00035,Fall 2025,2025,Enrolled,3,In-State,Online,2025-07-23
ENR000128,WMU00036,Spring 2024,2024,Enrolled,9,Out-of-State,Main Campus,2024-10-28
ENR000129,WMU00036,Fall 2023,2023,Enrolled,12,In-State,Online,2023-12-16
ENR000130,WMU00037,Fall 2025,2025,Withdrawn,9,International,Regional Campus,2025-07-16
ENR000131,WMU00037,Fall 2024,2024,Enrolled,15,In-State,Online,2024-02-04
ENR000132,WMU00037,Spring 2025,2025,Withdrawn,9,Out-of-State,Main Campus,2025-11-05
ENR000133,WMU00037,Spring 2024,2024,Enrolled,3,International,Main Campus,2024-02-16
ENR000134,WMU00038,Spring 2024,2024,Enrolled,15,In-State,Online,2024-10-20
ENR000135,WMU00038,Spring 2025,2025,Enrolled,3,International,Regional Campus,2025-08-26
ENR000136,WMU00039,Spring 2024,2024,Enrolled,15,International,Online,2024-09-18
ENR000137,WMU00039,Fall 2024,2024,Enrolled,3,Out-of-State,Main Campus,2024-07-15
ENR000138,WMU00039,Spring 2025,2025,Withdrawn,9,Out-of-State,Online,2025-01-02
ENR000139,WMU00039,Fall 2025,2025,Completed,6,International,Online,2025-12-06
ENR000140,WMU00039,Fall 2023,2023,Withdrawn,12,In-State,Online,2023-12-13
ENR000141,WMU00040,Fall 2023,2023,Enrolled,15,International,Main Campus,2023-07-09
ENR000142,WMU00040,Spring 2025,2025,Completed,12,Out-of-State,Regional Campus,2025-11-12
ENR000143,WMU00040,Fall 2024,2024,Enrolled,9,In-State,Main Campus,2024-10-02
ENR000144,WMU00040,Spring 2024,2024,Enrolled,6,Out-of-State,Regional Campus,2024-10-01
ENR000145,WMU00040,Fall 2025,2025,Withdrawn,9,In-State,Online,2025-06-12
ENR000146,WMU00041,Fall 2024,2024,Enrolled,6,International,Main Campus,2024-12-03
ENR000147,WMU00041,Fall 2023,2023,Enrolled,9,Out-of-State,Main Campus,2023-01-18
ENR000148,WMU00041,Fall 2025,2025,Enrolled,9,Out-of-State,Regional Campus,2025-07-19
ENR000149,WMU00041,Spring 2025,2025,Withdrawn,15,Out-of-State,Main Campus,2025-12-16
ENR000150,WMU00041,Spring 2024,2024,Enrolled,15,Out-of-State,Online,2024-10-13
ENR000151,WMU00042,Fall 2025,2025,Enrolled,6,Out-of-State,Regional Campus,2025-11-11
ENR000152,WMU00042,Fall 2023,2023,Completed,6,Out-of-State,Online,2023-07-07
ENR000153,WMU00042,Spring 2024,2024,Enrolled,12,International,Main Campus,2024-05-09
ENR000154,WMU00042,Spring 2025,2025,Enrolled,3,International,Online,2025-04-20
ENR000155,WMU00043,Fall 2025,2025,Enrolled,15,Out-of-State,Main Campus,2025-10-26
ENR000156,WMU00043,Fall 2023,2023,Withdrawn,15,Out-of-State,Main Campus,2023-06-26
ENR000157,WMU00044,Fall 2024,2024,Completed,12,Out-of-State,Main Campus,2024-07-13
ENR000158,WMU00044,Fall 2025,2025,Completed,9,International,Online,2025-11-25
ENR000159,WMU00045,Fall 2023,2023,Enrolled,12,International,Regional Campus,2023-08-09
ENR000160,WMU00045,Spring 2024,2024,Completed,15,Out-of-State,Regional Campus,2024-12-21
ENR000161,WMU00045,Fall 2024,2024,Completed,3,In-State,Online,2024-08-05
ENR000162,WMU00046,Spring 2024,2024,Enrolled,12,In-State,Regional Campus,2024-04-28
ENR000163,WMU00046,Fall 2024,2024,Enrolled,12,Out-of-State,Regional Campus,2024-03-09
ENR000164,WMU00046,Fall 2025,2025,Enrolled,15,Out-of-State,Main Campus,2025-02-05
ENR000165,WMU00047,Fall 2023,2023,Withdrawn,12,International,Online,2023-07-21
ENR000166,WMU00047,Spring 2024,2024,Enrolled,3,In-State,Online,2024-03-01
ENR000167,WMU00047,Spring 2025,2025,Enrolled,9,International,Regional Campus,2025-03-21
ENR000168,WMU00048,Spring 2025,2025,Enrolled,3,Out-of-State,Regional Campus,2025-05-28
ENR000169,WMU00048,Fall 2023,2023,Withdrawn,3,Out-of-State,Regional Campus,2023-11-03
ENR000170,WMU00049,Spring 2024,2024,Enrolled,12,In-State,Regional Campus,2024-02-25
ENR000171,WMU00049,Fall 2025,2025,Enrolled,9,International,Regional Campus,2025-07-26
ENR000172,WMU00049,Fall 2023,2023,Withdrawn,6,In-State,Main Campus,2023-02-06
ENR000173,WMU00049,Fall 2024,2024,Enrolled,6,Out-of-State,Online,2024-05-28
ENR000174,WMU00049,Spring 2025,2025,Enrolled,15,Out-of-State,Regional Campus,2025-06-23
ENR000175,WMU00050,Fall 2024,2024,Enrolled,12,Out-of-State,Main Campus,2024-06-16
ENR000176,WMU00050,Spring 2025,2025,Enrolled,9,In-State,Regional Campus,2025-10-02
ENR000177,WMU00051,Spring 2024,2024,Withdrawn,15,Out-of-State,Regional Campus,2024-12-12
ENR000178,WMU00051,Fall 2024,2024,Completed,3,In-State,Online,2024-07-01
ENR000179,WMU00052,Fall 2024,2024,Enrolled,6,Out-of-State,Regional Campus,2024-06-26
ENR000180,WMU00052,Fall 2025,2025,Enrolled,12,Out-of-State,Main Campus,2025-08-16
ENR000181,WMU00052,Fall 2023,2023,Enrolled,12,International,Online,2023-02-27
ENR000182,WMU00052,Spring 2025,2025,Enrolled,6,International,Main Campus,2025-06-14
ENR000183,WMU00052,Spring 2024,2024,Completed,15,International,Online,2024-08-23
ENR000184,WMU00053,Fall 2023,2023,Enrolled,12,In-State,Online,2023-04-21
ENR000185,WMU00053,Spring 2024,2024,Enrolled,9,International,Main Campus,2024-02-06
ENR000186,WMU00054,Fall 2025,2025,Enrolled,12,Out-of-State,Online,2025-12-05
ENR000187,WMU00054,Spring 2024,2024,Enrolled,9,International,Regional Campus,2024-06-26
ENR000188,WMU00054,Fall 2024,2024,Enrolled,9,In-State,Online,2024-06-06
ENR000189,WMU00055,Spring 2025,2025,Withdrawn,3,In-State,Online,2025-12-28
ENR000190,WMU00055,Spring 2024,2024,Enrolled,6,Out-of-State,Regional Campus,2024-07-20
ENR000191,WMU00055,Fall 2023,2023,Enrolled,9,In-State,Online,2023-03-19
ENR000192,WMU00055,Fall 2024,2024,Enrolled,3,International,Regional Campus,2024-07-25
ENR000193,WMU00055,Fall 2025,2025,Withdrawn,12,In-State,Main Campus,2025-12-07
ENR000194,WMU00056,Fall 2024,2024,Withdrawn,12,In-State,Online,2024-04-20
ENR000195,WMU00056,Fall 2025,2025,Enrolled,6,International,Regional Campus,2025-04-14
ENR000196,WMU00056,Spring 2025,2025,Withdrawn,6,In-State,Main Campus,2025-05-09
ENR000197,WMU00057,Fall 2025,2025,Completed,9,International,Regional Campus,2025-08-03
ENR000198,WMU00057,Spring 2025,2025,Withdrawn,3,In-State,Online,2025-12-13
ENR000199,WMU00057,Fall 2023,2023,Withdrawn,6,International,Online,2023-12-20
ENR000200,WMU00058,Fall 2023,2023,Enrolled,3,In-State,Online,2023-06-20
ENR000201,WMU00058,Fall 2025,2025,Enrolled,15,In-State,Online,2025-09-20
ENR000202,WMU00058,Fall 2024,2024,Enrolled,12,Out-of-State,Regional Campus,2024-06-05
ENR000203,WMU00058,Spring 2025,2025,Enrolled,15,International,Main Campus,2025-05-06
ENR000204,WMU00059,Fall 2024,2024,Withdrawn,15,In-State,Online,2024-02-11
ENR000205,WMU00059,Spring 2025,2025,Enrolled,3,Out-of-State,Online,2025-12-12
ENR000206,WMU00059,Fall 2023,2023,Enrolled,12,Out-of-State,Regional Campus,2023-05-17
ENR000207,WMU00059,Fall 2025,2025,Withdrawn,9,In-State,Online,2025-12-16
ENR000208,WMU00059,Spring 2024,2024,Completed,6,International,Regional Campus,2024-08-02
ENR000209,WMU00060,Spring 2024,2024,Enrolled,6,Out-of-State,Online,2024-03-23
ENR000210,WMU00060,Fall 2023,2023,Withdrawn,12,In-State,Online,2023-01-15
ENR000211,WMU00060,Spring 2025,2025,Completed,9,Out-of-State,Online,2025-08-04
ENR000212,WMU00061,Fall 2023,2023,Enrolled,6,In-State,Main Campus,2023-12-17
ENR000213,WMU00061,Fall 2024,2024,Completed,9,International,Regional Campus,2024-04-19
ENR000214,WMU00061,Fall 2025,2025,Completed,3,International,Main Campus,2025-07-03
ENR000215,WMU00062,Spring 2025,2025,Enrolled,3,International,Regional Campus,2025-02-13
ENR000216,WMU00062,Fall 2023,2023,Completed,9,In-State,Online,2023-03-01
ENR000217,WMU00062,Spring 2024,2024,Withdrawn,3,International,Regional Campus,2024-08-15
ENR000218,WMU00063,Fall 2025,2025,Withdrawn,15,Out-of-State,Regional Campus,2025-12-26
ENR000219,WMU00063,Fall 2023,2023,Enrolled,15,In-State,Main Campus,2023-11-10
ENR000220,WMU00063,Spring 2024,2024,Enrolled,9,International,Main Campus,2024-09-20
ENR000221,WMU00063,Spring 2025,2025,Enrolled,12,Out-of-State,Online,2025-03-08
ENR000222,WMU00064,Fall 2023,2023,Enrolled,12,International,Regional Campus,2023-03-04
ENR000223,WMU00064,Fall 2025,2025,Withdrawn,9,Out-of-State,Regional Campus,2025-05-22
ENR000224,WMU00064,Spring 2025,2025,Enrolled,15,Out-of-State,Regional Campus,2025-02-27
ENR000225,WMU00064,Fall 2024,2024,Completed,9,In-State,Online,2024-08-13
ENR000226,WMU00064,Spring 2024,2024,Enrolled,12,International,Regional Campus,2024-07-03
ENR000227,WMU00065,Fall 2024,2024,Completed,3,Out-of-State,Online,2024-11-08
ENR000228,WMU00065,Spring 2024,2024,Withdrawn,6,International,Regional Campus,2024-11-17
ENR000229,WMU00065,Spring 2025,2025,Enrolled,3,Out-of-State,Online,2025-02-26
ENR000230,WMU00065,Fall 2025,2025,Enrolled,12,In-State,Main Campus,2025-11-10
ENR000231,WMU00065,Fall 2023,2023,Completed,6,Out-of-State,Online,2023-10-02
ENR000232,WMU00066,Fall 2023,2023,Withdrawn,15,Out-of-State,Main Campus,2023-08-22
ENR000233,WMU00066,Fall 2025,2025,Enrolled,15,Out-of-State,Online,2025-10-03
ENR000234,WMU00067,Fall 2023,2023,Enrolled,6,Out-of-State,Main Campus,2023-02-14
ENR000235,WMU00067,Spring 2025,2025,Enrolled,9,International,Regional Campus,2025-08-25
ENR000236,WMU00068,Fall 2025,2025,Enrolled,6,International,Regional Campus,2025-05-28
ENR000237,WMU00068,Fall 2024,2024,Withdrawn,3,International,Main Campus,2024-01-13
ENR000238,WMU00068,Spring 2024,2024,Enrolled,3,In-State,Regional Campus,2024-08-15
ENR000239,WMU00068,Fall 2023,2023,Completed,12,International,Online,2023-05-20
ENR000240,WMU00068,Spring 2025,2025,Enrolled,15,International,Regional Campus,2025-12-22
ENR000241,WMU00069,Fall 2024,2024,Enrolled,6,In-State,Regional Campus,2024-04-28
ENR000242,WMU00069,Fall 2023,2023,Enrolled,3,Out-of-State,Regional Campus,2023-03-21
ENR000243,WMU00069,Spring 2025,2025,Withdrawn,6,International,Regional Campus,2025-04-03
ENR000244,WMU00069,Fall 2025,2025,Withdrawn,9,In-State,Online,2025-07-01
ENR000245,WMU00069,Spring 2024,2024,Enrolled,3,In-State,Regional Campus,2024-12-15
ENR000246,WMU00070,Spring 2025,2025,Completed,9,Out-of-State,Main Campus,2025-06-01
ENR000247,WMU00070,Fall 2023,2023,Withdrawn,3,Out-of-State,Online,2023-12-19
ENR000248,WMU00070,Spring 2024,2024,Completed,15,Out-of-State,Main Campus,2024-08-13
ENR000249,WMU00070,Fall 2025,2025,Completed,12,International,Regional Campus,2025-10-22
ENR000250,WMU00070,Fall 2024,2024,Enrolled,12,International,Main Campus,2024-09-01
ENR000251,WMU00071,Fall 2025,2025,Withdrawn,12,In-State,Online,2025-10-21
ENR000252,WMU00071,Fall 2024,2024,Withdrawn,9,International,Online,2024-01-06
ENR000253,WMU00071,Spring 2025,2025,Enrolled,9,Out-of-State,Online,2025-08-08
ENR000254,WMU00071,Fall 2023,2023,Enrolled,15,International,Regional Campus,2023-06-20
ENR000255,WMU00071,Spring 2024,2024,Enrolled,12,Out-of-State,Regional Campus,2024-12-13
ENR000256,WMU00072,Fall 2024,2024,Withdrawn,3,In-State,Main Campus,2024-04-06
ENR000257,WMU00072,Spring 2025,2025,Withdrawn,15,In-State,Online,2025-08-10
ENR000258,WMU00072,Fall 2023,2023,Enrolled,6,International,Main Campus,2023-01-12
ENR000259,WMU00072,Fall 2025,2025,Enrolled,9,International,Main Campus,2025-03-27
ENR000260,WMU00072,Spring 2024,2024,Enrolled,15,In-State,Online,2024-07-04
ENR000261,WMU00073,Fall 2023,2023,Enrolled,9,Out-of-State,Main Campus,2023-09-09
ENR000262,WMU00073,Spring 2024,2024,Completed,6,International,Regional Campus,2024-02-23
ENR000263,WMU00073,Spring 2025,2025,Withdrawn,3,Out-of-State,Main Campus,2025-02-26
ENR000264,WMU00074,Fall 2025,2025,Enrolled,15,In-State,Regional Campus,2025-02-28
ENR000265,WMU00074,Fall 2023,2023,Enrolled,6,In-State,Regional Campus,2023-05-23
ENR000266,WMU00075,Fall 2025,2025,Enrolled,9,In-State,Main Campus,2025-04-15
ENR000267,WMU00075,Spring 2025,2025,Enrolled,12,In-State,Online,2025-06-10
ENR000268,WMU00075,Fall 2024,2024,Enrolled,15,In-State,Online,2024-06-23
ENR000269,WMU00075,Fall 2023,2023,Enrolled,12,International,Regional Campus,2023-04-05
ENR000270,WMU00075,Spring 2024,2024,Withdrawn,15,In-State,Main Campus,2024-07-14
ENR000271,WMU00076,Spring 2025,2025,Completed,3,In-State,Main Campus,2025-06-11
ENR000272,WMU00076,Fall 2024,2024,Enrolled,12,Out-of-State,Main Campus,2024-07-25
ENR000273,WMU00076,Fall 2023,2023,Enrolled,3,International,Main Campus,2023-11-23
ENR000274,WMU00076,Spring 2024,2024,Enrolled,15,Out-of-State,Online,2024-11-23
ENR000275,WMU00076,Fall 2025,2025,Enrolled,15,International,Regional Campus,2025-06-12
ENR000276,WMU00077,Fall 2024,2024,Withdrawn,12,International,Main Campus,2024-09-20
ENR000277,WMU00077,Spring 2024,2024,Withdrawn,15,International,Online,2024-11-13
ENR000278,WMU00078,Fall 2024,2024,Enrolled,15,Out-of-State,Regional Campus,2024-12-24
ENR000279,WMU00078,Fall 2023,2023,Completed,6,International,Online,2023-04-03
ENR000280,WMU00078,Spring 2025,2025,Completed,15,Out-of-State,Regional Campus,2025-06-25
ENR000281,WMU00079,Fall 2023,2023,Enrolled,15,In-State,Online,2023-12-14
ENR000282,WMU00079,Fall 2025,2025,Enrolled,15,International,Main Campus,2025-06-09
ENR000283,WMU00079,Fall 2024,2024,Enrolled,15,In-State,Main Campus,2024-11-04
ENR000284,WMU00080,Fall 2024,2024,Completed,15,International,Regional Campus,2024-11-18
ENR000285,WMU00080,Fall 2023,2023,Enrolled,15,Out-of-State,Online,2023-05-22
ENR000286,WMU00080,Spring 2024,2024,Enrolled,15,International,Online,2024-09-24
ENR000287,WMU00080,Fall 2025,2025,Enrolled,6,Out-of-State,Regional Campus,2025-10-07
ENR000288,WMU00080,Spring 2025,2025,Withdrawn,9,In-State,Main Campus,2025-12-14
ENR000289,WMU00081,Fall 2023,2023,Enrolled,12,Out-of-State,Main Campus,2023-06-22
ENR000290,WMU00081,Fall 2025,2025,Withdrawn,15,International,Regional Campus,2025-09-25
ENR000291,WMU00081,Spring 2025,2025,Enrolled,12,International,Online,2025-11-14
ENR000292,WMU00081,Spring 2024,2024,Withdrawn,12,International,Online,2024-03-05
ENR000293,WMU00081,Fall 2024,2024,Enrolled,15,Out-of-State,Regional Campus,2024-08-05
ENR000294,WMU00082,Spring 2024,2024,Enrolled,12,International,Main Campus,2024-09-12
ENR000295,WMU00082,Spring 2025,2025,Completed,3,Out-of-State,Main Campus,2025-02-12
ENR000296,WMU00083,Fall 2023,2023,Enrolled,9,Out-of-State,Online,2023-08-01
