PerformanceID,StudentID,Term,CourseCode,CreditHoursAttempted,CreditHoursEarned,FinalGrade,TermGPA,CumulativeGPA,AcademicStanding
PERF000033,WMU00007,Spring 2025,PSYC1100,15,15,B,2.73,2.67,Dean's List
PERF000034,WMU00347,Fall 2024,PSYC1100,6,6,F,3.23,2.06,Good Standing
PERF000035,WMU00140,Fall 2025,ECON2020,6,6,A,3.86,3.72,Good Standing
PERF000036,WMU00091,Fall 2023,CS3100,9,9,C,2.48,3.75,Good Standing
PERF000037,WMU00333,Fall 2025,PSYC1100,15,15,D,1.88,2.8,Probation
PERF000038,WMU00452,Fall 2023,BUS2200,3,3,A,3.88,3.49,Probation
PERF000039,WMU00416,Fall 2024,DATA4020,9,12,A,3.54,2.92,Good Standing
PERF000040,WMU00055,Spring 2025,ECON2020,3,3,D,3.07,2.87,Good Standing
PERF000041,WMU00162,Spring 2024,CS3100,3,3,F,3.58,2.44,Good Standing
PERF000042,WMU00235,Fall 2025,MATH2010,3,3,C,3.74,1.81,Dean's List
PERF000043,WMU00212,Spring 2024,PSYC1100,9,9,C,2.25,2.85,Good Standing
PERF000044,WMU00401,Fall 2025,ECON2020,6,6,B,2.08,2.62,Good Standing
PERF000045,WMU00364,Fall 2023,MATH2010,15,15,W,2.43,3.32,Good Standing
PERF000046,WMU00484,Spring 2024,CS3100,12,12,F,2.42,3.04,Good Standing
PERF000047,WMU00083,Spring 2025,PSYC1100,3,3,C,2.94,3.86,Dean's List
PERF000048,WMU00144,Fall 2024,DATA4020,12,12,D,3.39,3.35,Dean's List
PERF000049,WMU00235,Fall 2024,PSYC1100,12,9,W,2.24,3.02,Dean's List
PERF000050,WMU88888,Fall 2025,MATH2010,15,15,B,2.84,2.61,Dean's List
PERF000051,WMU00270,Fall 2023,BUS2200,6,6,B,2.33,2.03,Good Standing
PERF000052,WMU00122,Spring 2024,PSYC1100,6,6,F,3.05,3.94,Good Standing
PERF000053,WMU00063,Spring 2025,STAT3010,12,12,A,1.96,3.52,Good Standing
PERF000054,WMU00289,Fall 2023,DATA4020,12,12,D,2.51,3.03,Good Standing
PERF000055,WMU00291,Fall 2024,ECON2020,9,9,F,2.68,2.68,Good Standing
PERF000056,WMU00338,Fall 2025,ECON2020,3,0,A,3.1,2.18,Good Standing
PERF000057,WMU00384,Fall 2025,DATA4020,12,12,F,3.02,2.52,Probation
PERF000058,WMU00151,Spring 2024,BUS2200,12,12,F,1.85,3.77,Good Standing
PERF000059,WMU00032,Fall 2023,PSYC1100,15,15,A,3.74,3.91,Good Standing
PERF000060,WMU00161,Spring 2025,STAT3010,15,12,C,1.57,3.57,Good Standing
PERF000061,WMU00039,Spring 2024,ECON2020,15,15,F,3.19,2.76,Probation
PERF000062,WMU00262,Fall 2023,MATH2010,15,12,F,2.45,2.7,good standing
PERF000063,WMU00110,Spring 2025,PSYC1100,15,15,A,2.9,3.58,Good Standing
PERF000064,WMU00322,Spring 2025,BUS2200,15,15,B,3.52,2.49,Probation
PERF000065,WMU00104,Fall 2025,PSYC1100,9,9,C,3.61,3.51,Dean's List
PERF000066,WMU00446,Fall 2024,CS3100,12,12,B,2.97,3.5,Probation
PERF000067,WMU00061,Fall 2024,BUS2200,9,9,A,3.58,2.16,Good Standing
PERF000068,WMU00241,Spring 2025,MATH2010,12,12,W,3.63,2.76,Dean's List
PERF000069,WMU00272,Fall 2025,ECON2020,15,15,A,1.79,3.96,Dean's List
PERF000070,WMU00251,Fall 2023,CS3100,15,15,A,1.7,2.23,Probation
PERF000071,WMU00415,Fall 2025,PSYC1100,3,3,A,3.86,2.63,Good Standing
PERF000072,WMU00414,Spring 2024,CS3100,3,3,A,2.23,3.13,Probation
PERF000073,WMU00174,Fall 2023,MATH2010,15,12,D,3.43,3.7,Good Standing
PERF000074,WMU00436,Fall 2024,PSYC1100,12,9,W,2.53,2.12,Probation
PERF000075,WMU00495,Fall 2023,STAT3010,6,6,C,1.54,2.89,Dean's List
PERF000076,WMU00159,Fall 2024,CS3100,3,3,D,1.91,3.37,Dean's List
PERF000077,WMU00367,Spring 2025,STAT3010,9,6,D,3.18,3.11,Probation
PERF000078,WMU00168,Fall 2025,BAD101,6,6,W,3.68,3.39,Dean's List
PERF000079,WMU00070,Spring 2024,ECON2020,15,15,B,2.91,3.85,Good Standing
PERF000080,WMU00467,Spring 2025,PSYC1100,15,15,A,2.49,2.95,Probation
PERF000081,WMU00071,Fall 2024,MATH2010,9,9,B,2.01,2.31,Good Standing
PERF000082,WMU00338,Spring 2025,DATA4020,15,15,W,3.83,2.25,Dean's List
PERF000083,WMU00161,Fall 2024,MATH2010,9,6,F,3.82,2.82,Good Standing
PERF000084,WMU00274,Spring 2024,PSYC1100,3,3,W,1.75,3.13,Good Standing
PERF000085,WMU00400,Fall 2024,ECON2020,15,15,B,3.38,2.32,Probation
PERF000086,WMU00495,Fall 2024,STAT3010,3,0,D,2.87,3.95,Dean's List
PERF000087,WMU00283,Spring 2025,MATH2010,9,9,B,2.62,3.76,Probation
PERF000088,WMU00013,Spring 2024,DATA4020,3,3,F,1.62,3.91,Probation
PERF000089,WMU00084,Fall 2023,MATH2010,9,9,D,2.24,1.89,Good Standing
PERF000090,WMU00351,Spring 2024,ECON2020,15,15,C,3.99,2.32,Good Standing
PERF000091,WMU00266,Fall 2024,BUS2200,15,15,A,2.5,2.98,Good Standing
PERF000092,WMU00076,Spring 2025,ECON2020,3,0,W,2.78,3.81,Good Standing
PERF000093,WMU00448,Fall 2025,MATH2010,9,9,W,1.73,2.88,Good Standing
PERF000094,WMU00325,Fall 2023,MATH2010,15,15,C,2.8,3.94,Good Standing
PERF000095,WMU00382,Fall 2023,CS3100,12,12,W,3.57,3.53,Dean's List
PERF000096,WMU00461,Spring 2024,STAT3010,12,9,B,3.69,2.99,Good Standing
PERF000097,WMU00117,Fall 2023,PSYC1100,6,6,F,3.2,2.5,Good Standing
PERF000098,WMU00429,Fall 2024,DATA4020,15,15,F,3.38,3.91,Good Standing
PERF000099,WMU00121,Fall 2024,ECON2020,6,3,D,3.2,3.99,Dean's List
PERF000100,WMU00104,Spring 2024,ECON2020,12,12,D,3.65,2.89,Dean's List
PERF000101,WMU00478,Fall 2024,CS3100,6,6,A,2.41,1.8,Good Standing
PERF000102,WMU00049,Spring 2025,MATH2010,15,15,B,2.06,2.57,Good Standing
PERF000103,WMU00097,Fall 2023,MATH2010,12,9,W,3.68,2.61,Probation
PERF000104,WMU00289,Spring 2024,CS3100,12,9,A,3.22,2.69,Good Standing
PERF000105,WMU00491,Spring 2024,BUS2200,12,12,F,3.13,3.86,Good Standing
PERF000106,WMU00411,Fall 2024,CS3100,12,12,C,2.92,3.93,Good Standing
PERF000107,WMU00173,Fall 2024,CS3100,12,12,B,2.57,3.14,Probation
PERF000108,WMU00413,Fall 2025,PSYC1100,9,9,B,1.82,3.82,Probation
PERF000109,WMU00021,Spring 2025,PSYC1100,12,12,F,3.23,2.31,Dean's List
PERF000110,WMU00247,Fall 2023,BUS2200,15,15,F,3.92,3.23,Probation
PERF000111,WMU00068,Spring 2024,CS3100,3,3,W,3.02,3.02,Good Standing
PERF000112,WMU00110,Fall 2024,BUS2200,6,6,C,2.37,3.18,Dean's List
PERF000113,WMU00236,Spring 2025,PSYC1100,6,6,W,3.14,2.0,Good Standing
PERF000114,WMU00247,Spring 2024,STAT3010,12,9,D,2.48,2.23,Good Standing
PERF000115,WMU00314,Fall 2024,MATH2010,3,0,C,2.45,1.97,Good Standing
PERF000116,WMU00068,Spring 2025,BUS2200,15,12,D,3.03,2.88,Good Standing
PERF000117,WMU00019,Fall 2023,PSYC1100,12,9,F,2.74,3.66,Good Standing
PERF000118,WMU00008,Fall 2025,DATA4020,24,24,D,3.99,1.88,Probation
PERF000119,WMU00300,Fall 2025,BUS2200,9,9,D,3.11,3.3,Good Standing
PERF000120,WMU00018,Fall 2025,DATA4020,9,9,W,2.17,1.87,Probation
PERF000121,WMU00412,Fall 2025,PSYC1100,6,3,D,3.32,2.53,Dean's List
PERF000122,WMU00350,Fall 2023,CS3100,3,3,A,3.18,2.17,Good Standing
PERF000123,WMU00182,Fall 2023,PSYC1100,12,12,C,2.17,2.2,Dean's List
PERF000124,WMU00484,Fall 2023,ECON2020,12,9,B,1.85,3.62,Probation
PERF000125,WMU00118,Fall 2024,STAT3010,12,12,W,3.88,3.3,Probation
PERF000126,WMU00356,Fall 2025,PSYC1100,15,12,B,3.67,2.23,Good Standing
PERF000127,WMU00444,Fall 2023,DATA4020,6,3,B,2.15,3.31,Probation
PERF000128,WMU00193,Spring 2024,STAT3010,9,9,W,3.97,2.86,Probation
PERF000129,WMU00181,Spring 2024,ECON2020,12,12,F,1.93,3.88,Good Standing
PERF000130,WMU00322,Fall 2025,PSYC1100,6,6,C,2.82,3.52,Probation
PERF000131,WMU00120,Spring 2024,MATH2010,6,6,F,1.77,3.36,Probation
PERF000132,WMU00439,Fall 2023,DATA4020,12,12,W,2.72,2.38,Dean's List
PERF000133,WMU00454,Fall 2025,PSYC1100,6,6,A,3.02,3.46,Probation
PERF000134,WMU00073,Spring 2024,PSYC1100,6,6,B,1.52,2.47,Good Standing
PERF000135,WMU00096,Fall 2025,BUS2200,3,3,A,3.78,3.12,Good Standing
PERF000136,WMU00141,Fall 2024,MATH2010,12,12,F,3.58,2.53,Good Standing
PERF000137,WMU00240,Fall 2024,DATA4020,3,3,A,3.6,2.26,Probation
PERF000138,WMU00272,Spring 2024,MATH2010,12,12,C,2.63,2.52,Probation
PERF000139,WMU00315,Fall 2025,STAT3010,6,6,B,3.32,2.61,Good Standing
PERF000140,WMU00490,Fall 2025,PSYC1100,6,3,D,3.32,3.89,Good Standing
PERF000141,WMU00285,Fall 2024,STAT3010,9,6,D,3.63,1.9,Probation
PERF000142,WMU00278,Fall 2023,PSYC1100,12,12,W,3.66,3.57,Probation
PERF000143,WMU00297,Fall 2025,PSYC1100,9,9,A,3.44,2.19,Dean's List
PERF000144,WMU00009,Spring 2025,CS3100,9,9,W,2.98,2.84,Good Standing
PERF000145,WMU00463,Fall 2024,CS3100,3,3,D,1.52,2.59,Good Standing
PERF000146,WMU00227,Spring 2025,PSYC1100,12,12,D,1.91,2.1,Probation
PERF000147,WMU00083,Fall 2025,CS3100,9,6,D,1.65,2.51,Dean's List
PERF000148,WMU00483,Fall 2024,PSYC1100,3,0,F,2.61,2.46,Good Standing
PERF000149,WMU00026,Spring 2025,STAT3010,12,9,W,2.34,2.54,Probation
PERF000150,WMU00266,Spring 2024,CS3100,3,3,W,2.97,3.92,Probation
PERF000151,WMU00489,Spring 2025,PSYC1100,9,9,B,2.76,2.47,Good Standing
PERF000152,WMU00153,Fall 2023,MATH2010,15,12,C,1.56,3.85,Good Standing
PERF000153,WMU00246,Fall 2025,MATH2010,9,9,B,3.5,2.62,Good Standing
PERF000154,WMU00261,Fall 2025,CS3100,9,9,A,3.9,2.09,Good Standing
PERF000155,WMU00265,Spring 2025,PSYC1100,15,15,C,1.67,1.81,Probation
PERF000156,WMU00313,Fall 2024,ECON2020,6,6,F,2.01,3.19,Good Standing
PERF000157,WMU00197,Spring 2025,BUS2200,6,6,C,2.26,3.67,Dean's List
PERF000158,WMU00481,Fall 2025,ECON2020,12,9,B,2.75,3.67,Good Standing
PERF000159,WMU00271,Fall 2023,ECON2020,6,3,W,3.47,3.38,Probation
PERF000160,WMU00222,Fall 2023,BUS2200,3,0,B,3.37,2.09,Good Standing
PERF000161,WMU00387,Spring 2025,DATA4020,9,9,B,3.87,1.95,Good Standing
PERF000162,WMU00009,Fall 2023,PSYC1100,15,15,W,2.86,3.6,Good Standing
PERF000163,WMU00326,Spring 2025,STAT3010,6,6,B,2.0,2.12,Good Standing
PERF000164,WMU00282,Spring 2024,BUS2200,12,12,F,1.73,2.63,Good Standing
PERF000165,WMU00059,Fall 2024,MATH2010,15,15,D,2.16,2.15,Dean's List
PERF000166,WMU00119,Spring 2025,DATA4020,6,6,F,1.91,2.84,Good Standing
PERF000167,WMU00257,Spring 2024,BUS2200,3,0,B,3.47,3.78,Dean's List
PERF000168,WMU00093,Fall 2023,ECON2020,3,3,C,3.37,2.6,Probation
PERF000169,WMU00498,Fall 2024,ECON2020,6,6,D,1.89,3.06,Good Standing
PERF000170,WMU00225,Fall 2023,DATA4020,3,3,F,1.73,3.6,Dean's List
PERF000171,WMU00096,Spring 2024,ECON2020,15,15,W,1.76,1.92,Good Standing
PERF000172,WMU00012,Spring 2025,BUS2200,6,3,A,3.11,2.19,Dean's List
PERF000173,WMU00444,Spring 2024,BUS2200,9,9,B,2.61,3.38,Good Standing
PERF000174,WMU00160,Spring 2025,CS3100,15,15,A,2.31,2.18,Good Standing
PERF000175,WMU00355,Fall 2024,BUS2200,12,9,B,3.89,3.41,Probation
PERF000176,WMU00481,Spring 2024,BUS2200,12,12,W,2.26,3.02,Good Standing
PERF000177,WMU00494,Spring 2024,STAT3010,15,15,C,3.13,3.35,Good Standing
PERF000178,WMU00016,Fall 2024,PSYC1100,3,3,C,2.89,2.48,Dean's List
PERF000179,WMU00343,Fall 2025,MATH2010,9,6,W,3.11,3.42,Dean's List
PERF000180,WMU00099,Fall 2023,STAT3010,3,3,D,2.22,3.87,Probation
PERF000181,WMU00224,Spring 2025,DATA4020,12,12,F,3.53,3.5,Good Standing
PERF000182,WMU00380,Fall 2023,STAT3010,3,0,F,3.56,3.69,Dean's List
PERF000183,WMU00259,Fall 2024,MATH2010,3,3,F,1.94,1.95,Good Standing
PERF000184,WMU00385,Spring 2025,DATA4020,12,12,W,3.75,2.83,Dean's List
PERF000185,WMU00404,Fall 2024,BUS2200,9,9,B,2.73,3.77,Probation
PERF000186,WMU00035,Spring 2025,STAT3010,9,9,B,1.87,3.59,Good Standing
PERF000187,WMU00388,Spring 2024,STAT3010,6,6,D,3.32,3.4,Good Standing
PERF000188,WMU00367,Spring 2024,CS3100,3,3,B,1.59,1.9,Dean's List
PERF000189,WMU00404,Fall 2023,CS3100,12,9,F,2.76,3.7,Dean's List
PERF000190,WMU00093,Spring 2025,DATA4020,9,9,W,3.35,3.35,Probation
PERF000191,WMU00133,Fall 2025,BUS2200,3,3,B,2.09,2.98,Good Standing
PERF000192,WMU00203,Fall 2023,PSYC1100,12,12,B,1.54,3.95,Good Standing
PERF000193,WMU00480,Spring 2024,ECON2020,3,3,F,3.64,3.06,Good Standing
PERF000194,WMU00359,Spring 2024,ECON2020,3,3,C,3.59,2.16,Good Standing
PERF000195,WMU00451,Fall 2024,PSYC1100,6,6,A,3.45,3.21,Good Standing
PERF000196,WMU00144,Fall 2025,PSYC1100,9,9,W,1.56,2.47,Dean's List
PERF000197,WMU00263,Spring 2025,DATA4020,6,6,A,3.03,2.23,Good Standing
PERF000198,WMU00343,Spring 2024,CS3100,12,9,D,1.71,3.31,Dean's List
PERF000199,WMU00485,Spring 2025,MATH2010,3,3,B,2.49,3.19,Good Standing
PERF000200,WMU00430,Spring 2025,MATH2010,15,15,B,1.8,3.31,Dean's List
PERF000201,WMU00278,Spring 2025,ECON2020,15,12,W,1.85,2.05,Good Standing
PERF000202,WMU00303,Spring 2025,MATH2010,6,6,D,2.51,2.08,Good Standing
PERF000203,WMU00354,Spring 2025,MATH2010,12,12,F,3.3,2.78,Probation
PERF000204,WMU00395,Fall 2023,BUS2200,15,12,B,1.99,3.17,Good Standing
PERF000205,WMU00099,Fall 2024,MATH2010,3,3,F,1.98,2.64,Good Standing
PERF000206,WMU00174,Fall 2025,CS3100,9,9,W,1.95,3.23,Probation
PERF000207,WMU00018,Spring 2024,PSYC1100,9,9,B,3.41,2.42,Good Standing
PERF000208,WMU00500,Spring 2024,MATH2010,15,15,A,3.47,3.3,Good Standing
PERF000209,WMU00497,Fall 2025,DATA4020,15,15,F,3.16,3.96,Good Standing
PERF000210,WMU00035,Spring 2024,CS3100,9,9,D,1.82,3.65,Good Standing
PERF000211,WMU00245,Fall 2025,BUS2200,15,15,C,3.3,3.65,Good Standing
PERF000212,WMU00219,Spring 2025,PSYC1100,12,12,B,3.29,3.05,Probation
PERF000213,WMU00354,Fall 2023,STAT3010,9,6,A,3.44,2.3,Dean's List
PERF000214,WMU00427,Fall 2023,MATH2010,6,6,C,1.98,3.86,Probation
PERF000215,WMU00203,Spring 2024,CS3100,15,15,D,2.27,3.83,Good Standing
PERF000216,WMU00259,Fall 2023,PSYC1100,15,15,C,3.85,3.75,Good Standing
PERF000217,WMU00110,Fall 2025,MATH2010,12,12,D,3.83,2.73,Probation
PERF000218,WMU00157,Fall 2025,CS3100,3,3,D,2.08,2.89,Good Standing
PERF000219,WMU00046,Fall 2024,STAT3010,12,12,D,3.3,3.92,Dean's List
PERF000220,WMU00430,Fall 2023,ECON2020,9,9,D,2.07,2.08,Probation
PERF000221,WMU00072,Spring 2024,CS3100,15,15,C,2.3,3.9,Good Standing
PERF000222,WMU00118,Fall 2023,PSYC1100,6,6,B,3.25,3.71,Good Standing
PERF000223,WMU00466,Fall 2023,STAT3010,15,15,A,1.54,2.6,Dean's List
PERF000224,WMU00397,Fall 2024,ECON2020,6,3,C,2.56,3.53,Good Standing
PERF000225,WMU00440,Fall 2024,DATA4020,15,12,F,3.19,4.0,Probation
PERF000226,WMU00139,Fall 2025,DATA4020,9,6,B,3.86,2.35,Good Standing
PERF000227,WMU00121,Fall 2023,STAT3010,3,3,D,2.59,2.04,Good Standing
PERF000228,WMU00388,Fall 2023,PSYC1100,15,15,F,1.81,2.26,Dean's List
PERF000229,WMU00323,Fall 2023,CS3100,6,6,A,2.62,2.41,Good Standing
PERF000230,WMU00198,Fall 2025,ECON2020,3,3,D,2.79,3.0,Good Standing
PERF000231,WMU00229,Fall 2024,PSYC1100,3,3,D,1.77,3.1,Good Standing
PERF000232,WMU00233,Fall 2023,DATA4020,12,12,D,1.71,2.92,Dean's List
PERF000233,WMU00247,Fall 2024,ECON2020,12,12,B,1.63,3.37,Probation
PERF000234,WMU00428,Fall 2024,MATH2010,3,3,C,2.4,2.97,Probation
PERF000235,WMU00048,Fall 2023,ECON2020,3,3,B,3.5,2.18,Good Standing
PERF000236,WMU00267,Fall 2023,MATH2010,15,15,F,2.59,2.57,Probation
PERF000237,WMU00180,Spring 2025,ECON2020,9,6,W,2.57,2.36,Good Standing
PERF000238,WMU00071,Spring 2024,STAT3010,12,12,F,1.51,2.24,Good Standing
PERF000239,WMU00354,Fall 2025,CS3100,6,3,B,3.56,3.82,Dean's List
PERF000240,WMU00019,Fall 2024,DATA4020,15,12,D,2.59,2.13,Probation
PERF000241,WMU00030,Fall 2024,CS3100,9,9,F,2.1,2.1,Dean's List
PERF000242,WMU00316,Fall 2023,MATH2010,12,12,A,3.95,2.69,Dean's List
PERF000243,WMU00263,Fall 2023,MATH2010,15,15,C,3.07,1.85,Good Standing
PERF000244,WMU00088,Spring 2025,PSYC1100,15,15,A,2.62,2.87,Dean's List
PERF000245,WMU00290,Spring 2024,MATH2010,6,6,A,1.55,3.24,Good Standing
PERF000246,WMU00211,Fall 2024,CS3100,12,12,W,2.91,3.34,Probation
PERF000247,WMU00460,Fall 2023,CS3100,3,3,C,2.12,3.99,Good Standing
PERF000248,WMU00238,Spring 2024,DATA4020,6,6,A,2.14,3.14,Good Standing
PERF000249,WMU00296,Fall 2024,PSYC1100,9,9,W,3.58,3.61,Dean's List
PERF000250,WMU00156,Spring 2024,PSYC1100,15,12,W,2.06,1.94,Dean's List
PERF000251,WMU00476,Spring 2025,CS3100,6,3,W,1.8,2.71,Probation
PERF000252,WMU00014,Fall 2023,MATH2010,3,0,D,3.89,2.13,Dean's List
PERF000253,WMU00232,Fall 2025,DATA4020,9,9,D,2.7,2.39,Good Standing
PERF000254,WMU00339,Spring 2024,PSYC1100,6,6,C,2.59,2.26,Probation
PERF000255,WMU00139,Fall 2024,CS3100,6,6,F,2.62,1.83,Probation
PERF000256,WMU00020,Fall 2024,STAT3010,12,9,W,1.85,2.27,Good Standing
PERF000257,WMU00342,Fall 2024,CS3100,3,0,F,3.61,2.03,Dean's List
PERF000258,WMU00395,Spring 2024,MATH2010,15,15,W,3.16,1.86,Probation
PERF000259,WMU00263,Spring 2024,MATH2010,9,9,B,2.42,3.34,Dean's List
PERF000260,WMU00138,Spring 2025,STAT3010,9,9,A,3.94,3.92,Probation
PERF000261,WMU00288,Spring 2024,BUS2200,12,12,A,3.93,3.84,Probation
PERF000262,WMU00273,Spring 2025,DATA4020,6,6,B,3.39,2.79,Probation
PERF000263,WMU00232,Fall 2024,CS3100,12,12,F,3.96,3.94,Probation
PERF000264,WMU00116,Fall 2023,ECON2020,6,6,F,1.93,3.59,Probation
PERF000265,WMU00124,Spring 2025,CS3100,9,9,D,2.69,2.84,Good Standing
PERF000266,WMU00438,Fall 2025,PSYC1100,9,9,B,2.45,1.99,Dean's List
PERF000267,WMU00464,Spring 2025,MATH2010,15,15,B,2.78,2.9,Probation
PERF000268,WMU00040,Spring 2025,PSYC1100,12,12,F,3.18,3.03,Good Standing
PERF000269,WMU00253,Fall 2023,ECON2020,6,3,F,3.86,3.27,Dean's List
PERF000270,WMU00171,Fall 2024,BUS2200,6,6,C,1.61,2.58,Good Standing
PERF000271,WMU00466,Spring 2024,DATA4020,3,3,F,2.56,2.58,Good Standing
PERF000272,WMU00390,Fall 2024,ECON2020,9,9,B,2.72,3.28,Good Standing
PERF000273,WMU00123,Fall 2023,DATA4020,6,3,C,1.77,3.85,Dean's List
PERF000274,WMU00237,Fall 2024,STAT3010,15,15,W,1.61,3.13,Dean's List
PERF000275,WMU00076,Fall 2024,BUS2200,12,12,F,2.44,3.0,Probation
PERF000276,WMU00053,Spring 2024,CS3100,9,6,A,2.16,2.93,Good Standing
PERF000277,WMU00215,Fall 2025,MATH2010,9,6,A,1.88,2.54,Dean's List
PERF000278,WMU00069,Spring 2024,STAT3010,3,3,C,2.95,2.33,Dean's List
PERF000279,WMU00480,Fall 2023,DATA4020,6,6,A,2.76,3.06,Good Standing
PERF000280,WMU00185,Spring 2025,DATA4020,6,3,F,3.24,2.3,Good Standing
PERF000281,WMU00081,Fall 2025,ECON2020,15,15,C,2.49,2.13,Dean's List
PERF000282,WMU00205,Spring 2024,CS3100,12,12,D,1.56,3.63,Good Standing
PERF000283,WMU00252,Fall 2025,DATA4020,3,3,B,4.0,2.05,Good Standing
PERF000284,WMU00166,Fall 2024,DATA4020,12,12,B,3.29,2.04,Good Standing
PERF000285,WMU00372,Fall 2023,ECON2020,15,12,A,2.35,3.96,Good Standing
PERF000286,WMU00486,Fall 2023,DATA4020,3,3,F,2.78,2.68,Good Standing
PERF000287,WMU00071,Fall 2025,STAT3010,12,12,C,3.38,2.89,Probation
PERF000288,WMU00238,Spring 2025,MATH2010,12,12,D,2.29,1.87,Good Standing
PERF000289,WMU00330,Spring 2025,BUS2200,6,6,C,1.57,3.05,Dean's List
PERF000290,WMU00341,Fall 2025,PSYC1100,9,9,D,3.39,2.87,Good Standing
PERF000291,WMU00176,Fall 2024,PSYC1100,12,12,W,2.15,2.98,Good Standing
PERF000292,WMU00090,Spring 2025,CS3100,6,6,D,2.65,3.01,Good Standing
PERF000293,WMU00171,Spring 2024,DATA4020,3,3,D,2.18,2.94,Good Standing
PERF000294,WMU00175,Spring 2024,PSYC1100,3,3,C,3.06,3.82,Dean's List
PERF000295,WMU00130,Spring 2025,DATA4020,6,3,F,3.16,3.16,Good Standing
PERF000296,WMU00372,Fall 2025,BUS2200,12,9,W,3.05,2.77,Dean's List
PERF000297,WMU00167,Fall 2025,CS3100,12,12,W,3.73,2.0,Probation
PERF000298,WMU00272,Fall 2023,CS3100,12,12,C,3.51,1.91,Good Standing
PERF000299,WMU00049,Fall 2025,CS3100,9,9,W,3.0,2.2,Dean's List
PERF000300,WMU00283,Fall 2024,DATA4020,6,6,W,3.82,3.76,Good Standing
PERF000301,WMU00315,Fall 2024,DATA4020,12,12,A,2.69,2.73,Good Standing
PERF000302,WMU00483,Fall 2025,STAT3010,12,9,B,2.55,2.35,Good Standing
PERF000303,WMU00084,Fall 2024,MATH2010,6,6,C,2.43,1.92,Dean's List
PERF000304,WMU00417,Fall 2023,MATH2010,15,15,A,2.99,3.23,Probation
PERF000305,WMU00126,Spring 2025,PSYC1100,6,6,C,2.83,3.08,Good Standing
PERF000306,WMU00296,Spring 2025,MATH2010,9,9,D,4.0,3.3,Probation
PERF000307,WMU00426,Fall 2025,PSYC1100,3,0,D,2.74,1.91,Dean's List
PERF000308,WMU00133,Fall 2024,DATA4020,15,15,A,3.55,3.85,Probation
PERF000309,WMU00438,Fall 2023,ECON2020,6,6,D,3.39,2.55,Good Standing
PERF000310,WMU00378,Fall 2025,CS3100,3,0,C,3.42,3.92,Good Standing
